Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
RZLT,Rezolute Inc,3.61,-0.27,-6.96%,3.89,3.55,86292,503120,11:02 ET
TRDA,Entrada Therapeutics Inc,9.53,-0.71,-6.93%,10.6,9.5,12994,87990,11:17 ET
QTEK,Qualtek Services Inc,3.24,-0.24,-6.90%,3.6668,3.1101,140637,165093,11:19 ET
BRN,Barnwell Industries,2.8317,-0.2083,-6.85%,2.97,2.76,132455,1881669,11:03 ET
IMGO,Imago Biosciences Inc,19.9,-1.45,-6.79%,21.14,20.04,34090,268592,11:14 ET
BTU,Peabody Energy Corp,24.21,-1.74,-6.71%,25.4225,23.5543,3440703,14928432,11:21 ET
TZOO,Travelzoo Inc,6.16,-0.44,-6.67%,6.6,6.1373,12771,109384,11:14 ET
NEX,Nextier Oilfield Solutions Inc,8.84,-0.63,-6.65%,9.22,8.67,1406526,3488175,11:20 ET
ICD,Independence Contract Drilling Inc,4.37,-0.31,-6.62%,4.64,4.36,99799,702892,11:03 ET
MXC,Mexco Energy Corp,17.03,-1.2,-6.58%,17.65,16.81,28455,1178248,10:48 ET
IPI,Intrepid Potash Inc,83.43,-5.84,-6.54%,88.76,79.52,363944,891058,11:21 ET
OSCR,Oscar Health Inc Cl A,8.92,-0.62,-6.50%,10.04,8.7301,426821,1635541,11:22 ET
NBR,Nabors Industries,150.15,-10.23,-6.38%,154.02,149.04,40324,277003,11:13 ET
NINE,Nine Energy Service Inc,3.09,-0.21,-6.36%,3.17,2.921,1028046,11305923,11:06 ET
PLL,Piedmont Lithium Inc ADR,70.8,-4.76,-6.30%,75.94,70.65,233930,640045,11:16 ET
APLT,Applied Therapeutics Inc,2.09,-0.14,-6.28%,2.3089,2.05,85487,312176,11:17 ET
CEIX,Consol Energy Inc,38.14,-2.55,-6.27%,39.84,37.15,278489,823110,11:21 ET
VFF,Village Farms Intl,5.72,-0.38,-6.23%,6.1,5.57,637114,936079,11:21 ET
WTTR,Select Energy Services Inc,8.76,-0.58,-6.21%,9.105,8.7,68629,695622,11:21 ET
OIS,Oil States International,6.83,-0.45,-6.18%,7,6.71,388799,1527498,11:21 ET
TFFP,Tff Pharmaceuticals Inc,6.08,-0.4,-6.17%,6.565,6.074,113838,117492,11:12 ET
VALN,Valneva Se ADR,32.77,-2.14,-6.13%,33.33,32.7,8442,11203,11:04 ET
HDSN,Hudson Tech Inc,5.83,-0.38,-6.12%,6.21,5.8,201588,998633,11:16 ET
VET,Vermilion Energy Inc,22.01,-1.43,-6.10%,22.87,21.87,1544392,3059196,11:21 ET
GFS,Globalfoundries Inc Ordinary Share,74.13,-4.81,-6.09%,78.7,74.27,996235,2521301,11:21 ET
BWV,Blue Water Vaccines Inc,48,-3.11,-6.08%,48.75,45.22,7337,45302,10:47 ET
PPTA,Perpetua Resources Corp,4.06,-0.26,-6.02%,4.3,4.06,26881,143299,11:14 ET
RAIL,Freightcar America,5.79,-0.37,-6.01%,6.15,5.1,370378,369538,11:14 ET
FREQ,Frequency Therapeutics Inc,2.04,-0.13,-5.99%,2.22,2.02,64824,333155,11:14 ET
HLX,Helix Energy Solutions Group,4.72,-0.3,-5.98%,4.91,4.715,568568,2258865,11:21 ET
REI,Ring Energy Inc,3.66,-0.23,-5.91%,3.8481,3.63,1198243,3799718,11:20 ET
ZY,Zymergen Inc,2.88,-0.18,-5.88%,3.09,2.865,331362,791676,11:11 ET
NRT,North European Oil Royality Trust,15.6519,-0.9781,-5.88%,16.7,15.3939,55610,116638,11:04 ET
GWGH,Gwg Holdings,5.45,-0.34,-5.87%,5.5,5.21,3376,13274,10:45 ET
GRWG,Growgeneration Corp,9.08,-0.56,-5.81%,9.5,8.96,1033641,2301841,11:20 ET
BORR,Borr Drilling Ltd,3.25,-0.2,-5.80%,3.37,3.2,329937,2195422,11:15 ET
ADS,Alliance Data Systems Corp,56.24,-3.46,-5.80%,58.49,56.01,411504,979681,11:18 ET
DRQ,Dril-Quip,33.64,-2.06,-5.77%,34.82,33.41,56734,496287,11:21 ET
PUMP,Propetro Holding Corp,13.74,-0.84,-5.76%,14.35,13.532,276425,1489533,11:21 ET
BPT,BP Prudhoe Bay Royalty Trust,13.93,-0.85,-5.75%,14.17,13.21,367749,942090,11:06 ET
SQZ,Sqz Biotechnologies Company,4.59,-0.28,-5.75%,4.78,4.54,22972,66295,11:06 ET
TLRY,Tilray Brands Inc,8.07,-0.49,-5.72%,8.27,7.61,45979861,39130336,11:21 ET
RDHL,Redhill Biophrma ADR,2.64,-0.16,-5.71%,2.84,2.62,122459,456020,11:19 ET
RBOT,Vicarious Surgical Inc,4.14,-0.25,-5.69%,4.39,4.1,223986,384878,11:21 ET
BGRY,Berkshire Grey Inc,3.49,-0.21,-5.68%,3.72,3.48,228428,614190,11:21 ET
LSF,Laird Superfood Inc,3.33,-0.2,-5.67%,3.62,3.26,53361,189404,11:20 ET
DCP,Dcp Midstream LP,32.6,-1.95,-5.64%,34.22,32.56,101305,768313,11:21 ET
CING,Cingulate Inc,2.01,-0.12,-5.63%,2.14,2.01,36705,183430,11:01 ET
GAN,Gan Ltd,5.05,-0.3,-5.61%,5.4257,5.03,228629,709191,11:21 ET
SOI,Solaris Oilfield Infrastructure Inc Cl A,11.31,-0.67,-5.59%,11.75,11.335,62100,349550,11:14 ET
SILV,Silvercrest Metals Inc,8.96,-0.53,-5.58%,9.4,8.93,291861,830701,11:21 ET
LBRT,Liberty Oilfield Services Inc,14.84,-0.87,-5.54%,15.0974,14.44,618127,2557529,11:21 ET
NXE,Nexgen Energy Ltd,5.46,-0.32,-5.54%,5.71,5.415,760494,2640654,11:20 ET
VYGR,Voyager Therapeut,8.92,-0.52,-5.51%,9.51,8.67,290364,1155991,11:20 ET
GATO,Gatos Silver Inc,4.12,-0.24,-5.50%,4.31,4.1,240111,1461529,11:21 ET
